                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82494,                 2.1447,                  1.282,                 0.6186,                0.89208,                0.88775,                0.61936,                 1.3962,                 1.3244,                  1.251,                      0,                      0,                      0
                      2,                0.94106,                 1.9837,                 1.3319,                0.56669,                0.83333,                0.87401,                0.63267,                 1.4141,                 1.3473,                 1.2604,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.91973,                  2.087,                 1.2764,                0.59191,                0.83333,                0.87376,                 0.6253,                 1.4478,                 1.3506,                 1.2683,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                 1.0698,                  2.267,                 1.3936,                 0.5813,                0.83333,                0.87396,                0.60379,                 1.4618,                 1.3769,                 1.2727,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.99412,                  2.788,                 1.3624,                0.57086,                0.83333,                0.87239,                0.59628,                 1.4852,                 1.4139,                  1.281,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.93433,                 1.7708,                 1.2429,                0.59799,                0.83333,                0.87832,                0.60891,                 1.4988,                 1.4461,                  1.283,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.86356,                 2.8447,                  1.253,                0.68081,                0.83333,                0.89226,                0.62687,                  1.506,                 1.4724,                 1.2829,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0713,                 2.2304,                 1.3513,                0.67424,                   0.75,                0.89242,                0.63061,                 1.5269,                 1.5025,                 1.2949,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                 0.7582,                 1.7483,                 1.1921,                0.66982,                   0.75,                0.87864,                0.61135,                 1.5248,                 1.5552,                 1.3003,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.81749,                  1.858,                 1.1612,                0.67675,                   0.75,                0.83597,                0.60581,                 1.5065,                 1.5427,                 1.2927,             1.1674e-06,             1.1674e-06,             1.1674e-06
